gender,degree,born,Family_income,nation_race,nation_welfare,Assistance_to_the_poor,social_security,natcrime,natdrug,Immigration,relig,religinf,opsex,homo_marriage,abortion,age_group,race
Female,High School,Yes,"$10,000 ~ $19,999",Too little,Too little,NA,Too little,Too little,2,Neither,Catholic,Neither,NA,Strongly agree,NA,30-39 years old,White
Male,High School,Yes,"$130,000 ~ $169,999",NA,NA,Too little,About right,NA,NA,NA,None,Agree,Not important at all,NA,NA,20-29 years old,Black
Female,High School,Yes,NA,Too little,Too little,NA,Too little,Too little,1,Agree,NA,Disagree,NA,NA,NA,60-69 years old,Black
Female,Associate College,Yes,"$40,000 ~ $59,999",Too little,Too little,NA,Too little,About right,2,Disagree,Christian,Strongly disagree,NA,Strongly disagree,NA,50-59 years old,Black
Male,Graduate,No,"$170,000 or over",NA,NA,Too little,Too little,NA,NA,NA,Other,Agree,Not important at all,Strongly agree,Yes,40-49 years old,White
Male,Associate College,Yes,"$20,000 ~ $39,999",Too little,Too little,NA,Too little,Too little,1,Strongly agree,Catholic,Disagree,NA,NA,NA,60-69 years old,White
Male,Graduate,Yes,"$90,000 ~ $129,999",Too little,Too little,NA,About right,Too little,2,Neither,Jewish,Neither,NA,NA,NA,70-79 years old,White
Female,Graduate,Yes,"$130,000 ~ $169,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Neither,Fairly important,NA,NA,NA,White
Male,Bachelors,Yes,"$170,000 or over",About right,Too much,NA,Too little,Too little,1,Strongly agree,Christian,Disagree,NA,Strongly agree,NA,50-59 years old,White
Female,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Neither,Not important at all,Agree,Yes,60-69 years old,White
Male,High School,Yes,"$130,000 ~ $169,999",About right,Too much,NA,Too little,Too little,1,NA,Christian,Strongly disagree,Not very important,Strongly agree,NA,70-79 years old,White
Female,Graduate,Yes,"$130,000 ~ $169,999",Too little,About right,NA,Too little,Too little,2,Agree,None,Agree,NA,Strongly agree,NA,NA,Other
Female,Associate College,Yes,"$20,000 ~ $39,999",NA,NA,About right,Too little,NA,NA,Agree,Christian,Strongly disagree,NA,Agree,No,50-59 years old,White
Male,Less than high school,No,"$10,000 ~ $19,999",NA,NA,Too little,Too little,NA,NA,NA,Catholic,Disagree,Not very important,NA,NA,60-69 years old,Hispanic
Male,Bachelors,Yes,"$90,000 ~ $129,999",About right,Too much,NA,About right,About right,2,Agree,Christian,Neither,NA,NA,NA,40-49 years old,White
Male,High School,Yes,NA,Too little,Too much,NA,Too little,Too little,2,NA,None,Strongly agree,Not very important,Agree,NA,50-59 years old,White
Female,Associate College,Yes,"$130,000 ~ $169,999",Too much,Too much,NA,Too little,About right,2,Strongly agree,Catholic,Neither,NA,Strongly agree,NA,40-49 years old,White
Female,Graduate,Yes,"$170,000 or over",NA,NA,About right,Too little,NA,NA,NA,Catholic,Strongly disagree,Fairly important,Neither,No,40-49 years old,White
Female,High School,Yes,"$90,000 ~ $129,999",NA,NA,Too little,About right,NA,NA,NA,None,Strongly agree,Fairly important,NA,NA,20-29 years old,White
Male,Graduate,No,"$170,000 or over",Too little,Too little,NA,About right,Too much,3,Disagree,Hinduism,Neither,NA,NA,NA,60-69 years old,Asian
Male,Graduate,No,"$170,000 or over",NA,NA,Too little,Too little,NA,NA,Strongly disagree,None,Strongly agree,NA,Strongly agree,Yes,70-79 years old,White
Male,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,About right,About right,NA,NA,NA,Jewish,Neither,Not important at all,Disagree,No,30-39 years old,White
Female,Bachelors,Yes,"$40,000 ~ $59,999",Too little,Too little,NA,Too little,Too little,1,Neither,Christian,Strongly disagree,NA,NA,NA,60-69 years old,Black
Male,Graduate,No,"$130,000 ~ $169,999",NA,NA,About right,About right,NA,NA,Agree,None,Agree,NA,Neither,Yes,60-69 years old,Black
Male,Graduate,Yes,"$20,000 ~ $39,999",NA,NA,Too little,About right,NA,NA,NA,None,Strongly agree,Fairly important,NA,NA,20-29 years old,White
Male,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,NA,About right,Too little,1,Disagree,Christian,Neither,NA,NA,NA,30-39 years old,Black
Female,Bachelors,Yes,"$170,000 or over",NA,NA,About right,About right,NA,NA,Disagree,None,NA,NA,Strongly agree,Yes,30-39 years old,White
Female,Graduate,No,"$90,000 ~ $129,999",Too little,Too little,NA,Too little,Too much,2,NA,Other,Strongly agree,Very important,Strongly agree,NA,30-39 years old,White
Female,Bachelors,No,NA,Too little,Too little,NA,Too little,Too little,1,NA,Other,NA,NA,NA,NA,40-49 years old,Black
Female,High School,Yes,"$60,000 ~ $89,999",About right,Too much,NA,Too little,Too little,1,NA,Catholic,NA,NA,Strongly agree,NA,50-59 years old,White
NA,High School,Yes,"Under $10,000",NA,NA,About right,Too little,NA,NA,Neither,Catholic,Disagree,NA,Strongly agree,No,NA,White
Female,Bachelors,No,"$60,000 ~ $89,999",NA,NA,Too little,About right,NA,NA,NA,Christian,Strongly disagree,Essential,Strongly disagree,No,70-79 years old,White
Female,Bachelors,Yes,"$130,000 ~ $169,999",NA,NA,Too little,About right,NA,NA,Disagree,Christian,Neither,NA,Strongly agree,Yes,80-89 years old,White
Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,Too little,About right,NA,NA,Disagree,Christian,Disagree,NA,Disagree,No,60-69 years old,Other
Male,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too little,NA,Too little,Too little,1,Disagree,None,Agree,NA,Strongly agree,NA,70-79 years old,Black
Female,Bachelors,Yes,"$170,000 or over",About right,About right,NA,Too little,About right,2,Disagree,None,Disagree,NA,NA,NA,30-39 years old,White
Female,High School,Yes,"$60,000 ~ $89,999",Too much,Too much,NA,Too little,Too little,1,NA,Christian,NA,NA,Agree,NA,50-59 years old,White
Female,High School,Yes,"$60,000 ~ $89,999",About right,Too much,NA,Too little,Too little,1,Neither,Christian,Disagree,NA,NA,NA,50-59 years old,White
Male,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,Too little,About right,NA,NA,NA,None,NA,NA,NA,NA,20-29 years old,White
Female,Graduate,Yes,"$170,000 or over",NA,NA,Too little,Too little,NA,NA,NA,None,Strongly agree,Very important,Strongly agree,Yes,20-29 years old,White
Female,Bachelors,Yes,"$170,000 or over",Too little,Too little,NA,Too little,Too little,1,Strongly disagree,None,Strongly agree,NA,NA,NA,20-29 years old,White
Male,Graduate,Yes,"$170,000 or over",NA,NA,Too little,About right,NA,NA,Strongly disagree,Catholic,Strongly agree,NA,Strongly agree,Yes,30-39 years old,White
Female,Graduate,Yes,"$170,000 or over",Too little,About right,NA,About right,Too little,1,Disagree,Catholic,Neither,NA,NA,NA,40-49 years old,White
Female,Graduate,Yes,"$170,000 or over",NA,NA,About right,About right,NA,NA,NA,None,Neither,Not very important,NA,NA,60-69 years old,White
Female,Graduate,Yes,"$170,000 or over",Too little,Too little,NA,About right,About right,1,Disagree,Jewish,Strongly agree,NA,Strongly agree,NA,60-69 years old,White
Female,Bachelors,No,"$60,000 ~ $89,999",Too little,Too little,NA,Too little,Too little,1,Disagree,None,Agree,NA,Strongly agree,NA,20-29 years old,Asian
Male,High School,Yes,"$40,000 ~ $59,999",Too little,About right,NA,Too little,About right,2,NA,Christian,Disagree,Not important at all,Strongly agree,NA,50-59 years old,White
Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,NA,About right,Too little,1,Disagree,Christian,Neither,NA,Strongly agree,NA,80-89 years old,White
Female,High School,Yes,"$10,000 ~ $19,999",Too little,Too little,NA,Too little,Too little,1,NA,Catholic,Neither,Fairly important,Strongly agree,NA,60-69 years old,Other
Female,Less than high school,Yes,"$60,000 ~ $89,999",About right,Too much,NA,Too little,Too little,1,Strongly agree,Christian,Agree,NA,Strongly agree,NA,60-69 years old,White
Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,About right,NA,Too little,Too little,1,NA,Catholic,Disagree,Not very important,Strongly agree,NA,30-39 years old,White
Male,Associate College,Yes,"$90,000 ~ $129,999",About right,About right,NA,Too little,About right,1,Strongly agree,Catholic,Neither,NA,NA,NA,60-69 years old,White
Female,Graduate,Yes,"$170,000 or over",NA,NA,Too little,Too little,NA,NA,NA,None,Strongly agree,Fairly important,NA,NA,50-59 years old,White
Female,Graduate,Yes,"$90,000 ~ $129,999",About right,About right,NA,Too little,About right,2,Disagree,Christian,Disagree,NA,NA,NA,60-69 years old,White
Male,High School,Yes,"$20,000 ~ $39,999",NA,NA,Too much,Too little,NA,NA,NA,Catholic,Disagree,Essential,Disagree,No,80-89 years old,White
Female,Graduate,Yes,"$130,000 ~ $169,999",Too little,About right,NA,About right,About right,2,Disagree,None,Neither,NA,Agree,NA,70-79 years old,White
Female,High School,Yes,"Under $10,000",NA,NA,Too little,Too little,NA,NA,Disagree,None,Strongly agree,NA,Strongly agree,Yes,60-69 years old,White
Female,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too little,NA,Too little,Too little,1,NA,Catholic,NA,NA,Strongly agree,NA,40-49 years old,White
Male,Graduate,No,"$90,000 ~ $129,999",About right,Too much,NA,About right,Too little,2,NA,None,Neither,Not important at all,Agree,NA,40-49 years old,Asian
Female,High School,Yes,NA,Too little,Too little,NA,Too little,Too little,2,Disagree,Catholic,Neither,NA,NA,NA,NA,Black
Male,High School,Yes,"$10,000 ~ $19,999",Too little,Too little,NA,Too little,Too little,1,NA,Catholic,Neither,Very important,Strongly agree,NA,40-49 years old,Black
Male,Associate College,Yes,"$60,000 ~ $89,999",NA,NA,Too little,About right,NA,NA,NA,None,Strongly agree,Fairly important,Agree,Yes,70-79 years old,Black
Female,Bachelors,Yes,"$10,000 ~ $19,999",Too little,About right,NA,Too little,About right,1,Neither,Christian,Disagree,NA,Strongly agree,NA,50-59 years old,Black
Male,Graduate,Yes,"$20,000 ~ $39,999",About right,About right,NA,About right,About right,1,Strongly disagree,None,Strongly agree,NA,Strongly agree,NA,50-59 years old,White
Female,Bachelors,Yes,NA,Too little,Too little,NA,About right,About right,1,NA,None,Strongly agree,Fairly important,Strongly agree,NA,NA,White
Male,High School,Yes,"$60,000 ~ $89,999",Too much,Too much,NA,About right,Too little,3,Strongly agree,None,Neither,NA,Disagree,NA,60-69 years old,White
Female,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,NA,Too little,Too little,1,Neither,Christian,Strongly disagree,NA,Agree,NA,60-69 years old,White
Female,Graduate,Yes,"$10,000 ~ $19,999",NA,NA,About right,Too little,NA,NA,NA,Catholic,Strongly disagree,Not very important,NA,NA,40-49 years old,White
Male,Associate College,No,"Under $10,000",Too little,Too much,NA,About right,About right,3,Neither,Other,Disagree,NA,NA,NA,40-49 years old,White
Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,NA,Too little,Too little,2,Disagree,Other,Strongly agree,NA,Strongly agree,NA,60-69 years old,White
Female,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,Too little,About right,NA,NA,NA,Christian,Neither,Fairly important,NA,NA,70-79 years old,White
Female,Bachelors,Yes,"$10,000 ~ $19,999",Too little,About right,NA,About right,About right,1,NA,None,NA,NA,Strongly disagree,NA,30-39 years old,Black
Male,High School,Yes,"$60,000 ~ $89,999",Too little,About right,NA,About right,Too little,1,Strongly agree,None,Disagree,NA,NA,NA,70-79 years old,Hispanic
Female,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too little,NA,About right,About right,NA,Disagree,Jewish,Disagree,NA,Strongly agree,NA,70-79 years old,White
Male,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Strongly disagree,Very important,NA,NA,70-79 years old,Black
Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,About right,Too little,NA,NA,NA,Catholic,Disagree,Not very important,NA,NA,60-69 years old,White
Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too much,NA,Too little,Too little,1,Neither,None,Neither,NA,Strongly agree,NA,40-49 years old,Black
NA,Graduate,Yes,NA,NA,NA,Too little,Too little,NA,NA,Disagree,None,Neither,NA,Strongly agree,NA,NA,White
Male,Bachelors,Yes,"$130,000 ~ $169,999",NA,NA,Too little,About right,NA,NA,NA,Christian,Agree,Not important at all,NA,NA,50-59 years old,White
Female,High School,No,NA,About right,About right,NA,About right,About right,2,Neither,Catholic,Neither,NA,Strongly agree,NA,30-39 years old,White
Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,Too little,About right,NA,NA,NA,None,Neither,Not important at all,Neither,Yes,30-39 years old,Hispanic
Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Disagree,Fairly important,NA,NA,40-49 years old,Black
Other,Less than high school,No,"$10,000 ~ $19,999",NA,NA,Too little,About right,NA,NA,NA,Christian,Strongly disagree,Not very important,NA,NA,NA,White
Female,High School,Yes,"$130,000 ~ $169,999",Too much,About right,NA,Too little,Too much,1,Neither,Christian,Strongly disagree,NA,Strongly disagree,NA,40-49 years old,White
Female,Less than high school,Yes,"$10,000 ~ $19,999",Too much,Too little,NA,Too little,Too little,1,NA,Catholic,Strongly disagree,Fairly important,Disagree,NA,60-69 years old,Other
Male,High School,Yes,"$90,000 ~ $129,999",NA,NA,About right,About right,NA,NA,Strongly agree,Christian,Strongly disagree,NA,Agree,No,40-49 years old,White
Female,High School,Yes,"$130,000 ~ $169,999",NA,NA,About right,Too little,NA,NA,Agree,Christian,Disagree,NA,Agree,No,NA,White
Female,Graduate,No,"$170,000 or over",NA,NA,About right,About right,NA,NA,NA,None,Disagree,Not important at all,NA,Yes,30-39 years old,Asian
Female,Bachelors,Yes,"$170,000 or over",NA,NA,About right,Too little,NA,NA,NA,None,Agree,Not important at all,NA,NA,40-49 years old,White
Male,High School,Yes,NA,Too little,Too little,NA,Too little,Too much,1,NA,None,Strongly agree,Fairly important,Strongly agree,NA,30-39 years old,White
Male,High School,Yes,"$170,000 or over",NA,NA,Too little,Too little,NA,NA,NA,None,Strongly agree,Not important at all,NA,NA,50-59 years old,White
Female,Bachelors,No,"$60,000 ~ $89,999",NA,NA,About right,About right,NA,NA,NA,Hinduism,Agree,Not important at all,Strongly agree,Yes,30-39 years old,Asian
Male,High School,Yes,"$60,000 ~ $89,999",NA,About right,NA,Too little,Too little,2,Agree,Catholic,Agree,NA,NA,NA,60-69 years old,White
Male,Graduate,Yes,"$170,000 or over",Too little,About right,NA,Too little,Too little,2,NA,Christian,Neither,Not very important,Strongly agree,NA,60-69 years old,Asian
